nombre, url
Porque crecieron las orejas, https://github.com/produccionmaterialmaya/cuentos/blob/main/Ba'axten%20chowak%20u%20xikin%20t'u'ul-%20Martha%20Chable.mp3
Ratoncito, https://github.com/produccionmaterialmaya/cuentos/blob/main/Chan%20Ch'o'%20Tsikbal%20-%20Milka%20Castillo.mp3
Pajaritos, https://github.com/produccionmaterialmaya/cuentos/blob/main/Chan%20ch'%C3%ADicho'o'%20-%20Estefania%20Romero%20Chim.mp3
Colibrí, https://github.com/produccionmaterialmaya/cuentos/blob/main/Chan%20ts'unu'un%20-%20Rosely%20Canul.mp3
Despedida, https://github.com/produccionmaterialmaya/cuentos/blob/main/Despedida%20-%20Karla%20Gabriela%20Sima%20Cabrera.mp3
El perrito y el conejo, https://github.com/produccionmaterialmaya/cuentos/blob/main/El%20perrito%20y%20el%20conejo%20-%20maya%20ac.mp3
Historia, https://github.com/produccionmaterialmaya/cuentos/blob/main/Historia%20-%20Carlos%20Enrique%20Cohuo%20Ucan.mp3
Janal Pixan, https://github.com/produccionmaterialmaya/cuentos/blob/main/Janal%20Pixan%20-%20Angel%20Guillermo%20Cohuo%20Canche.mp3
Un pequeño trabajo, https://github.com/produccionmaterialmaya/cuentos/blob/main/Juns%C3%BAutuk%20N%C3%A1ajal%20-%20Rafael%20Hau%20Pool.wav
Felipe, https://github.com/produccionmaterialmaya/cuentos/blob/main/jPiil%20-%20Guadalupe%20de%20Jes%C3%BAs%20Chan%20Poot.mp3
